-0.1 0 0
-0.2 0.2 0
-0.3 0.4 0
-0.3 0.55 0
-0.2 0.8 0
-0.1 0.95 0
-0.05 0.98 0
0 1 0
0.05 0.98 0
0.1 0.95 0
0.2 0.8 0
0.3 0.55 0
0.3 0.4 0
0.2 0.2 0
0.1 0 0
0.05 0 -0.15
0 0 -0.2
-0.05 0 -0.15
-0.2 0.3 -0.05
-0.2 0.5 -0.08
-0.1 0.7 -0.11
-0.05 0.78 -0.14
0 0.8 -0.14
0.05 0.78 -0.14
0.1 0.7 -0.11
0.2 0.5 -0.08
0.2 0.3 -0.05
3 0 18 1
3 17 18 0
3 17 19 18
3 16 19 17
3 16 20 19
3 16 21 20
3 16 22 21
3 16 23 22
3 16 24 23
3 16 25 24
3 15 25 16
3 15 26 25
3 14 26 15
3 14 13 26
3 18 2 1
3 18 3 2
3 19 3 18
3 19 4 3
3 20 4 19
3 20 5 4
3 21 5 20
3 21 6 5
3 21 7 6
3 22 7 21
3 22 8 7
3 23 8 22
3 23 9 8
3 23 10 9
3 24 10 23
3 25 10 24
3 25 11 10
3 26 11 25
3 26 12 11
3 13 12 26
3 0 1 18
3 17 0 18
3 17 18 19
3 16 17 19
3 16 19 20
3 16 20 21
3 16 21 22
3 16 22 23
3 16 23 24
3 16 24 25
3 15 16 25
3 15 25 26
3 14 15 26
3 14 26 13
3 18 1 2
3 18 2 3
3 19 18 3
3 19 3 4
3 20 19 4
3 20 4 5
3 21 20 5
3 21 5 6
3 21 6 7
3 22 21 7
3 22 7 8
3 23 22 8
3 23 8 9
3 23 9 10
3 24 23 10
3 25 24 10
3 25 10 11
3 26 25 11
3 26 11 12
3 13 26 12
3 14 16 15
3 0 16 14
3 0 17 16
3 14 15 16
3 0 14 16
3 0 16 17
